repo,url,stars,forks,open_issues,open_prs,closed_prs,merged_prs,total_closed_prs
MarvellEmbeddedProcessors/u-boot-marvell,https://github.com/MarvellEmbeddedProcessors/u-boot-marvell,66,75,13,7,3,1,4
Maxul/TMS320C6678-Raw-Ethernet-Driver,https://github.com/Maxul/TMS320C6678-Raw-Ethernet-Driver,2,0,0,0,0,0,0
McNeight/CAN_Library,https://github.com/McNeight/CAN_Library,96,43,10,0,0,4,4
MentorEmbedded/meta-arago,https://github.com/MentorEmbedded/meta-arago,1,9,0,0,2,13,15
Microchip-MPLAB-Harmony/bsp,https://github.com/Microchip-MPLAB-Harmony/bsp,5,7,1,1,1,0,1
Microchip-MPLAB-Harmony/classb_sam_e70_s70_v70_v71,https://github.com/Microchip-MPLAB-Harmony/classb_sam_e70_s70_v70_v71,0,0,0,0,0,0,0
Microchip-MPLAB-Harmony/core,https://github.com/Microchip-MPLAB-Harmony/core,17,13,20,2,2,0,2
Microchip-MPLAB-Harmony/core_apps_sam_e70_s70_v70_v71,https://github.com/Microchip-MPLAB-Harmony/core_apps_sam_e70_s70_v70_v71,4,2,0,0,0,0,0
Microchip-MPLAB-Harmony/csp_apps_sam_e70_s70_v70_v71,https://github.com/Microchip-MPLAB-Harmony/csp_apps_sam_e70_s70_v70_v71,10,8,3,0,0,0,0
Microchip-MPLAB-Harmony/dev_packs,https://github.com/Microchip-MPLAB-Harmony/dev_packs,14,9,5,2,0,0,0
Microchip-MPLAB-Harmony/gfx,https://github.com/Microchip-MPLAB-Harmony/gfx,20,17,36,3,2,0,2
Microchip-MPLAB-Harmony/gfx_apps_sam_e70_s70_v70_v71,https://github.com/Microchip-MPLAB-Harmony/gfx_apps_sam_e70_s70_v70_v71,1,1,0,0,0,0,0
Microchip-MPLAB-Harmony/mc_apps_sam_e7x_s7x_v7x,https://github.com/Microchip-MPLAB-Harmony/mc_apps_sam_e7x_s7x_v7x,5,5,1,0,0,0,0
Microchip-MPLAB-Harmony/net,https://github.com/Microchip-MPLAB-Harmony/net,54,12,8,0,3,0,3
